file	energy	cluster	hb_id	H-bond
md_610k_snap_192.com	-821.164901770776	1	33	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O112-H129_O119,O48-H127_O87
md_610k_snap_189.com	-821.0309587560067	1	33	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O112-H129_O119,O48-H127_O87
md_610k_snap_191.com	-820.9999378322341	1	33	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O112-H129_O119,O48-H127_O87
md_610k_snap_190.com	-820.9883899704744	1	33	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O112-H129_O119,O48-H127_O87
md_610k_snap_199.com	-823.1018259693572	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_184.com	-822.8461029161317	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_183.com	-822.7008300176265	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_185.com	-822.5683100826998	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_200.com	-821.2799849190974	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_181.com	-820.9642223309265	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_182.com	-820.4208886132749	1	34	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O111,O112-H129_O102,O48-H127_O87
md_610k_snap_195.com	-822.2752033443041	1	35	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O47,O112-H129_O102,O112-H129_O119,O48-H127_O87
md_610k_snap_194.com	-821.9741255371325	1	35	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O47,O112-H129_O102,O112-H129_O119,O48-H127_O87
md_610k_snap_198.com	-822.837998989025	1	36	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O47,O112-H129_O102,O48-H127_O87
md_610k_snap_197.com	-822.7708254021906	1	36	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O47,O112-H129_O102,O48-H127_O87
md_610k_snap_196.com	-822.7468349079683	1	36	N120-H122_O28,N19-H130_N115,N54-H131_O89,O1-H123_O47,O112-H129_O102,O48-H127_O87
md_410k_snap_39.com	-784.0585137162574	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_37.com	-784.0485930924349	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_38.com	-783.9463118131739	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_40.com	-783.8445115477424	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_56.com	-783.8270599516845	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_41.com	-783.6398845216622	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_35.com	-783.5272385088663	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_36.com	-783.5188499293558	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_44.com	-783.3187737337297	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_45.com	-783.1040503133609	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_42.com	-783.0294189753182	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_43.com	-782.8902797712374	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_32.com	-782.7958082001469	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_34.com	-782.7541810420372	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_33.com	-782.7513061322131	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_46.com	-782.7063997266386	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_48.com	-782.5061087978178	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_50.com	-782.1839513218691	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_49.com	-781.2627231621876	2	104	N83-H88_O1,O1-H123_O47
md_410k_snap_47.com	-782.6914720807595	2	105	N83-H88_O1,O1-H123_O47,O1-H123_O87
md_410k_snap_52.com	-782.5825193014872	2	105	N83-H88_O1,O1-H123_O47,O1-H123_O87
md_410k_snap_51.com	-782.4978345594394	2	105	N83-H88_O1,O1-H123_O47,O1-H123_O87
md_610k_snap_131.com	-804.2691777522923	3	0	N115-H130_N19,N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47,O110-H126_O87
md_610k_snap_125.com	-796.5085699638272	3	14	N120-H122_O28,N19-H130_N115,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_129.com	-805.2251118977426	3	15	N120-H122_O28,N19-H130_N115,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47,O110-H126_O87
md_610k_snap_128.com	-799.4029760330536	3	16	N120-H122_O28,N19-H130_N115,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_610k_snap_130.com	-805.7106827007366	3	17	N120-H122_O28,N19-H130_N115,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47,O110-H126_O87
md_610k_snap_126.com	-800.0701929582624	3	17	N120-H122_O28,N19-H130_N115,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47,O110-H126_O87
md_610k_snap_127.com	-799.1809525244704	3	18	N120-H122_O28,N19-H130_N115,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47,O48-H127_O79
md_610k_snap_134.com	-799.6926102999961	3	29	N120-H122_O28,N19-H130_N115,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_610k_snap_113.com	-806.5596661528836	3	59	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_123.com	-805.3588043057849	3	59	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_120.com	-805.0820766718174	3	59	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_121.com	-804.8289910950032	3	59	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_122.com	-802.1284869962578	3	59	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_124.com	-800.3002917696462	3	60	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47,O48-H127_O79
md_610k_snap_114.com	-805.0949475924324	3	61	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_610k_snap_119.com	-806.7985956765	3	64	N120-H122_O28,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_610k_snap_118.com	-806.0133962117336	3	64	N120-H122_O28,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_610k_snap_116.com	-805.8979470268647	3	64	N120-H122_O28,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_610k_snap_117.com	-805.734810739564	3	64	N120-H122_O28,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_610k_snap_115.com	-804.3927012874686	3	64	N120-H122_O28,N25-H26_O89,N54-H131_O32,O1-H123_O119,O110-H126_O47
md_410k_snap_178.com	-804.797376390317	4	10	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O46,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_184.com	-804.3380481488911	4	10	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O46,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_188.com	-803.1901407262067	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_180.com	-803.1347908055545	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_186.com	-802.9136610642694	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_182.com	-802.8553593484224	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_187.com	-802.7582680516539	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_181.com	-802.5141853763795	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_185.com	-801.8450599715003	4	11	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_177.com	-805.2477730421554	4	12	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_179.com	-804.6585444978781	4	13	N120-H122_O28,N19-H130_N115,N23-H30_O89,N83-H88_O28,O1-H123_O47,O80-H128_O78
md_410k_snap_183.com	-800.863821486029	4	44	N120-H122_O28,N19-H130_N115,N83-H88_N23,O1-H123_O47,O110-H126_O46
md_410k_snap_189.com	-801.9023813784407	4	50	N120-H122_O28,N19-H130_N115,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_191.com	-800.4272694876722	4	50	N120-H122_O28,N19-H130_N115,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_190.com	-800.187540461287	4	50	N120-H122_O28,N19-H130_N115,N83-H88_O28,O1-H123_O47,O110-H126_O46
md_410k_snap_196.com	-800.957674606909	4	51	N120-H122_O28,N19-H130_N115,O1-H123_O119,O110-H126_O46
md_410k_snap_195.com	-800.694262238787	4	51	N120-H122_O28,N19-H130_N115,O1-H123_O119,O110-H126_O46
md_410k_snap_197.com	-799.6468904348085	4	51	N120-H122_O28,N19-H130_N115,O1-H123_O119,O110-H126_O46
md_410k_snap_167.com	-804.9163899239317	4	52	N120-H122_O28,N19-H130_N115,O1-H123_O46,O1-H123_O47,O80-H128_O110
md_410k_snap_168.com	-803.9421351126738	4	52	N120-H122_O28,N19-H130_N115,O1-H123_O46,O1-H123_O47,O80-H128_O110
md_410k_snap_172.com	-804.4362465085613	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_173.com	-804.314524167237	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_199.com	-804.3021480682271	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_170.com	-804.1848749027797	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_194.com	-804.0318728675502	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_171.com	-803.9347102928593	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_193.com	-802.9675684066119	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_198.com	-802.2382166396837	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_192.com	-801.3970483823045	4	54	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46
md_410k_snap_174.com	-804.6103253493526	4	55	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_175.com	-804.49854880477	4	55	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_176.com	-803.6936262256676	4	55	N120-H122_O28,N19-H130_N115,O1-H123_O47,O110-H126_O46,O80-H128_O78
md_410k_snap_169.com	-803.2697218494021	4	57	N120-H122_O28,N19-H130_N115,O1-H123_O47,O80-H128_O110
md_410k_snap_200.com	-802.888990317378	4	71	N120-H122_O28,O1-H123_O47,O110-H126_O46
md_610k_snap_107.com	-808.4513179438478	5	1	N120-H122_N25,N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119
md_610k_snap_111.com	-807.6146412835104	5	2	N120-H122_N25,N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47
md_610k_snap_108.com	-807.324835462377	5	2	N120-H122_N25,N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47
md_610k_snap_109.com	-807.2314959204899	5	2	N120-H122_N25,N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47
md_610k_snap_112.com	-804.7669131987722	5	59	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_N21,O1-H123_O119,O110-H126_O47
md_610k_snap_87.com	-802.8017657912606	5	62	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_O89,O80-H128_O70
md_610k_snap_88.com	-801.9886224688483	5	63	N120-H122_O28,N25-H26_O89,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_O70
md_610k_snap_86.com	-807.8453628058539	5	65	N120-H122_O28,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_85.com	-806.0479945420661	5	65	N120-H122_O28,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_90.com	-799.4255584438114	5	66	N120-H122_O28,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_O87,O80-H128_N81,O80-H128_O70
md_610k_snap_89.com	-801.1225356266411	5	67	N120-H122_O28,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_O70
md_610k_snap_84.com	-802.6393678577389	5	70	N120-H122_O28,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_96.com	-802.8140693936953	5	72	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_O87,O80-H128_O70
md_610k_snap_97.com	-802.1589674504704	5	72	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_O87,O80-H128_O70
md_610k_snap_91.com	-798.62689355847	5	73	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_N81,O80-H128_O70
md_610k_snap_92.com	-796.6707545987554	5	74	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_O70
md_610k_snap_94.com	-796.6445471350501	5	74	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_O70
md_610k_snap_95.com	-796.5945614456821	5	74	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_O70
md_610k_snap_93.com	-796.5104042932174	5	74	N120-H122_O89,N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O112-H129_O110,O80-H128_O70
md_610k_snap_100.com	-805.8934251955669	5	84	N25-H26_O89,N25-H27_N115,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_N83
md_610k_snap_105.com	-807.955731984269	5	85	N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119
md_610k_snap_104.com	-807.6109267695092	5	85	N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119
md_610k_snap_106.com	-805.7095070128568	5	85	N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119
md_610k_snap_110.com	-807.1902804769588	5	86	N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47
md_610k_snap_103.com	-806.3216730399619	5	86	N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47
md_610k_snap_102.com	-803.3135109303904	5	87	N25-H26_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O48-H127_N83
md_610k_snap_101.com	-803.7642948246182	5	88	N25-H26_O89,N54-H131_O32,N83-H88_O119,O1-H123_O119,O110-H126_O47,O48-H127_N83
md_610k_snap_99.com	-801.5188163069382	5	90	N25-H27_N115,N25-H27_O89,N54-H131_O32,N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_O87,O80-H128_N81,O80-H128_O70
md_610k_snap_98.com	-799.3458132389721	5	91	N25-H27_O89,N54-H131_O32,N83-H88_N115,O1-H123_O119,O110-H126_O47,O48-H127_O87,O80-H128_O70
md_610k_snap_27.com	-769.0971348490034	6	102	N83-H88_O1,O1-H123_N83,O48-H127_O64
md_610k_snap_26.com	-776.0524734164567	6	103	N83-H88_O1,O1-H123_N83,O48-H127_O79
md_610k_snap_30.com	-778.5247496872969	6	106	N83-H88_O1,O48-H127_O79
md_610k_snap_28.com	-776.0269969875119	6	106	N83-H88_O1,O48-H127_O79
md_610k_snap_43.com	-781.7995669537177	6	109	N83-H88_O119,O1-H123_O89,O48-H127_O79
md_610k_snap_35.com	-781.375340205668	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_36.com	-781.1350061979522	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_37.com	-780.2878860899542	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_38.com	-780.145189020352	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_39.com	-779.5104956599306	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_41.com	-778.2249966137671	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_40.com	-776.7471828522521	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_42.com	-772.230504574496	6	123	O1-H123_O89,O48-H127_O79
md_610k_snap_32.com	-773.9545028946626	6	124	O48-H127_O79
md_610k_snap_33.com	-773.1652653708755	6	124	O48-H127_O79
md_610k_snap_34.com	-772.9330279524064	6	124	O48-H127_O79
md_610k_snap_29.com	-772.6368625326492	6	124	O48-H127_O79
md_610k_snap_31.com	-772.3613770823223	6	124	O48-H127_O79
md_410k_snap_90.com	-804.2869615750745	7	37	N120-H122_O28,N19-H130_N115,N83-H88_N115,N83-H88_O119,O1-H123_O119
md_410k_snap_89.com	-804.2690373227706	7	37	N120-H122_O28,N19-H130_N115,N83-H88_N115,N83-H88_O119,O1-H123_O119
md_410k_snap_91.com	-805.9953086350478	7	38	N120-H122_O28,N19-H130_N115,N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_81.com	-804.1786787202541	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_82.com	-804.121198108173	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_88.com	-804.0945487790976	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_86.com	-803.99052325346	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_87.com	-803.9031929051675	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_84.com	-803.899325444445	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_85.com	-803.5947488356719	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_83.com	-803.144054379544	7	39	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_103.com	-806.2044394173812	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_102.com	-804.7100721740746	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_96.com	-804.5287871294242	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_98.com	-804.4609040931192	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_99.com	-804.4593603832019	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_93.com	-804.4061403518816	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_95.com	-804.1913620970009	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_94.com	-802.8989767807509	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_100.com	-802.8497828933127	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_101.com	-802.642856091023	7	45	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
