file	energy	H-bond
md_410k_snap_96.com	-804.5287871294242	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_97.com	-804.3071644077492	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_98.com	-804.4609040931192	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_99.com	-804.4593603832019	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_100.com	-802.8497828933127	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_101.com	-802.642856091023	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_102.com	-804.7100721740746	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_103.com	-806.2044394173812	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_104.com	-806.154680373694	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_105.com	-805.067178633175	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_106.com	-805.0530195954086	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_107.com	-805.7177866635558	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_108.com	-804.2522860484182	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_109.com	-803.527512130686	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_110.com	-805.1147178179892	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_111.com	-804.8192408168247	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_112.com	-802.555372313702	N19-H130_N115,N83-H88_O119,O1-H123_O110,O110-H126_O47
md_410k_snap_113.com	-802.873497744003	N19-H130_N115,N83-H88_O119,O1-H123_O110,O110-H126_O47
md_410k_snap_114.com	-801.3760975982733	N19-H130_N115,N83-H88_O119,O1-H123_O15,O110-H126_O47
md_410k_snap_115.com	-800.1650349397551	N19-H130_N115,N83-H88_O119,O110-H126_O47
md_410k_snap_116.com	-798.6479975450593	N19-H130_N115,N83-H88_O119,O110-H126_O47
md_410k_snap_117.com	-798.7365821812373	N19-H130_N115,N83-H88_O119,O110-H126_O47
md_410k_snap_118.com	-801.3625763742716	N19-H130_N115,N83-H88_O119,O1-H123_O15,O110-H126_O47
md_410k_snap_119.com	-800.5652638903152	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_120.com	-800.0823402190665	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_121.com	-801.0548366046232	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_122.com	-804.5829446241437	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_123.com	-804.4918417521731	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_124.com	-804.6189840295193	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
